speaker,season,episode,scene,utterance,text
Richard Burke,2,24,4,5,Okay.
Richard Burke,2,24,4,7,Sure I do.
Richard Burke,2,24,4,9,"Honey, you are in it."
Richard Burke,2,24,4,11,"Oh, yeah!"
Richard Burke,2,24,4,13,"Well, uh, sometimes I think about selling my practice, we could move to France, make French toast."
Richard Burke,2,24,4,15,Like a hound?
Richard Burke,2,24,4,17,You really need the bassinet?
Richard Burke,2,24,4,19,"Oh, hey. I love children, I have children. I just don't want to be 70 when our kids go off to college, and our lives can finally start."
Richard Burke,2,24,4,21,"Look I want you, now."
Richard Burke,2,24,6,3,"Oh, that's why you never see pigeons at sushi bars. See, we're having fun."
Richard Burke,2,24,6,5,Neither am I.
Richard Burke,2,24,10,3,"Okay, last chance. Again, I'm sorry."
Richard Burke,2,24,11,2,"Okay, I'll do it."
Richard Burke,2,24,11,4,If kids is what I takes to be with you then kids it is.
Richard Burke,2,24,11,6,"If I have to I'll, I'll do all again , I'll do the 4 o'clock feeding thing, I'll go to the P.T.A. meetings, I'll coach the soccer team."
Richard Burke,2,24,11,8,"Yeah, if I have to. Monica, I don't wanna lose you, so if I have to do it all over again, then I will."
Richard Burke,2,24,11,10,But you're not.
Richard Burke,2,24,11,12,God. I love you.
Richard Burke,2,24,11,14,I guess we just keep dancing.
Janice Litman Goralnik,2,24,12,8,OH.....MY.....GAWD!!
Janice Litman Goralnik,3,1,3,5,"Monica and Rachel had syrup, now I can get my man to cheer up. Good morning Joey."
Janice Litman Goralnik,3,1,3,8,"Oh, I wish. Look, honey, you have that report to finish, and I gotta go see my lawyer."
Janice Litman Goralnik,3,1,3,10,"I-I-I gotta go, I gotta go. Okay, not without a kiss."
Janice Litman Goralnik,3,1,3,13,"I'll see you later, sweetie. Bye Joey."
Janice Litman Goralnik,3,1,10,2,"So, I hear, you hate me!"
Janice Litman Goralnik,3,1,10,4,A little birdie told me something about you wanting to rip your arm off and throw it at me.
Janice Litman Goralnik,3,1,10,6,"All right, fine, fine, fine, fine, fine, We've got to do something about our little situation here Joey. So, this is my idea you and me spending some quality time together."
Janice Litman Goralnik,3,1,10,8,For Chandler!
Janice Litman Goralnik,3,1,10,10,Okay. All right. This is what we're gonna call it 'Joey and Janice's DAY OF FUN!'
Janice Litman Goralnik,3,1,10,12,"Yes, because that's how long it takes to love me."
Janice Litman Goralnik,3,1,12,2,We're baack!
Janice Litman Goralnik,3,1,12,5,Joey and Janice's DAY OF FUN!!!
Janice Litman Goralnik,3,1,12,8,"I just came by to give you a kiss, I have to go pick up the baby, so. I'll see you later sweetheart, you too Chandler."
Jack Geller,3,1,13,5,"Well, it's your mother's bridge night so I thought that I would come into the city for a little Monicuddle. Since when did you start smoking cigars?"
Jack Geller,3,1,13,7,"Well, I just wanted to make sure you were okay."
Jack Geller,3,1,13,9,I saw Richard.
Jack Geller,3,1,13,11,"So, how are you doing?"
Jack Geller,3,1,13,13,You don't wanna know.
Jack Geller,3,1,13,15,"Well, he's doing terrible!"
Jack Geller,3,1,13,17,Worse than when he broke up with Barbara.
Jack Geller,3,1,13,19,"No, the man is a mess."
Jack Geller,3,1,13,21,No.
Jack Geller,3,1,13,23,Maybe.
Jack Geller,3,1,13,25,"Honey, relationships are hard. Like with your Mom and me. You know after we graduated college we broke up for a while. It seems her Father, your Grandfather, wanted her to travel around Europe, like he did. Of course, he got to do it on Uncle Sam's nickel, because he was also strafing German troop trains at the time. However,"
Judy Geller,3,1,14,4,"Well what is it? Come on sweetie, your like, freaking me out here."
Richard Burke,3,2,2,48,"""Monica, it's Richard. Call me."""
Richard Burke,3,2,2,89,"""Hi, this is Richard. Please, leave a message at the tone."""
Richard Burke,3,2,3,141,"Hi, this is Richard."
Janice Litman Goralnik,3,3,6,2,Night-night Bing-a-ling.
Janice Litman Goralnik,3,3,9,3,"Oh. God, crazy Chandler. He spun me...off...the...bed!"
Janice Litman Goralnik,3,3,9,5,"Oh, I wish. No, you know he was just trying Ross's Hug and Roll thing."
Janice Litman Goralnik,3,3,9,7,"You know what, where he hugs you and kinda rolls you away and... Oh... my....God."
Janice Litman Goralnik,3,4,2,3,"Well, let's go to a bad one and make out."
Janice Litman Goralnik,3,4,2,16,What is the great tragedy here? You go get yourself another appointment.
Carol Willick,3,4,3,4,"He picked it out of the toy store himself, he loves it."
Carol Willick,3,4,3,8,"This doesn't have anything to do with the fact that he is being raised by two women, does it?"
Janice Litman Goralnik,3,4,5,2,"So, how come you wanted to eat in tonight?"
Janice Litman Goralnik,3,4,5,4,"Ohhh, are you a puppy! Contact paper! I never really know what to say when someone you're sleeping with gives you contact paper."
Janice Litman Goralnik,3,4,5,6,"Oh, you didn't have to do this."
Janice Litman Goralnik,3,4,5,8,"Well, I gotta buy a vowel. Because, oh my Gawd! Who, would've thought that someday, Chandler Bing would buy me a drawer."
Janice Litman Goralnik,3,4,5,10,We should?
Janice Litman Goralnik,3,4,5,12,"I don't think we need to, because you're tripping me out right now! Are you okay?"
Janice Litman Goralnik,3,4,5,14,You probably want us to move in together?
Janice Litman Goralnik,3,4,5,16,"Yeah, well, it scares me! I mean I not even divorced yet, Chandler. You know, you just invited me over here for pasta, and all of the sudden you're talking about moving in together. And, and I wasn't even that hungry. You know what, it's getting a little late, and I-I should just, um..."
Janice Litman Goralnik,3,4,8,2,"No, thank you. Chandler!"
Janice Litman Goralnik,3,4,8,4,What are you doing here?
Janice Litman Goralnik,3,4,8,6,Are you being British?!
Janice Litman Goralnik,3,4,8,8,Why are you shopping here? You don't live in this neighborhood. Were you here waiting for me?
Janice Litman Goralnik,3,4,8,10,Barley? What kind of party serves barley?
Janice Litman Goralnik,3,4,8,12,Where is this party?
Janice Litman Goralnik,3,4,8,14,Who's party is it?
Janice Litman Goralnik,3,4,8,16,What woman?!
Janice Litman Goralnik,3,4,8,18,"Okay, you know, one of two things is happening here. Either you're seeing somebody behind my back, which would make you the biggest jerk on the planet. Or, else you're pretending that you're seeing somebody, which just makes you so pathetic that I could start crying right here in the cereal aisle. So like which of these two guys do you want to be?"
Carol Willick,3,4,11,2,G. I. Joe. G. I. Joe?!
Carol Willick,3,4,11,16,"Oh please God, let there be a song."
Frank Buffay Jr.,3,5,3,26,How are you?
Frank Buffay Jr.,3,5,3,30,Hi.
Frank Buffay Jr.,3,5,3,33,Hey.
Frank Buffay Jr.,3,5,3,35,Whoa!
Frank Buffay Jr.,3,5,3,38,Whoa!!
Frank Buffay Jr.,3,5,3,40,"Hey, how do you guys get anything done?"
Frank Buffay Jr.,3,5,3,44,"Yeah, I was thinking that maybe we could go down to Time Square and pick up some ninja stars. And, oh, um, my friend Larry, he wants me to take a picture of a hooker."
Frank Buffay Jr.,3,5,6,3,What?
Frank Buffay Jr.,3,5,6,5,"What, wait, you mean like this?"
Frank Buffay Jr.,3,5,6,7,Your not doing it.
Frank Buffay Jr.,3,5,6,9,When's your birthday?
Frank Buffay Jr.,3,5,6,11,I know a guy who's the 18th.
Frank Buffay Jr.,3,5,6,13,October 25th.
Frank Buffay Jr.,3,5,6,15,Melt stuff.
Frank Buffay Jr.,3,5,8,3,Yeah.
Frank Buffay Jr.,3,5,8,5,"Yeah, you can melt art. Hey, can I use your phone?"
Frank Buffay Jr.,3,5,8,7,"No, I wanna melt it."
Frank Buffay Jr.,3,5,8,9,Yeah!
Frank Buffay Jr.,3,5,8,11,G'night.
Frank Buffay Jr.,3,5,8,13,"Oh, excellent."
Frank Buffay Jr.,3,5,10,2,Whoa! Big octopus.
Frank Buffay Jr.,3,5,10,4,"Hey, what kind of work do you do?"
Frank Buffay Jr.,3,5,10,6,You-you work at one of those massage parlors?
Frank Buffay Jr.,3,5,10,8,"Wow! That's wild! No, I had no idea."
Frank Buffay Jr.,3,5,10,10,You mean like watch?
Frank Buffay Jr.,3,5,10,12,"Well, I don't think this, y'know."
Frank Buffay Jr.,3,5,10,14,"Yeah! Hey, do Monica and Rachel work there?"
Frank Buffay Jr.,3,5,12,2,"Ow!-Ow!-Ow! Ow! Ow! Ow! Ow! Ow! Ow! Y'know, ow!"
Frank Buffay Jr.,3,5,12,4,She broke my arm.
Frank Buffay Jr.,3,5,12,6,"No, she touched mine first!"
Frank Buffay Jr.,3,5,12,8,"So wait, what's the deal here, I can have sex with you, but I can't touch you?"
Frank Buffay Jr.,3,5,12,12,"No, your a masseuse, it's cool, I'm not a cop."
Frank Buffay Jr.,3,5,12,16,"Wait that's-that's, what that's not what you do?"
Frank Buffay Jr.,3,5,12,18,"I don't know, I mean, y'know, this is the city y'know, I just, I mean, I don't know."
Frank Buffay Jr.,3,5,12,20,"Oh, wait, no your right, no it was perfect and I can't believe that I screwed it up so bad."
Frank Buffay Jr.,3,5,12,22,"Well, no, maybe-maybe it wasn't perfect, but y'know it was pretty cool, y'know, 'cause we had all those great talks y'know."
Frank Buffay Jr.,3,5,12,24,"Well y'know about the tongue thing, y'know, and how I told you about my likes and my dislikes..."
Frank Buffay Jr.,3,5,12,26,"How-how I like to melt stuff, and how I dislike stuff that doesn't melt."
Frank Buffay Jr.,3,5,12,28,"Yeah, y'know I feel like I can really talk to you 'cause y'know you're my sister, y'know."
Frank Buffay Jr.,3,5,12,30,Then I go feel your friend up and make you mad at me.
Frank Buffay Jr.,3,5,12,32,"You hopped a little bit. Yeah, I really sorry."
Frank Buffay Jr.,3,5,12,34,This?
Frank Buffay Jr.,3,5,12,36,"Oh come on we went, we went to Time Square, we found ninja stars, I almost got arm broken by a hooker..."
Frank Buffay Jr.,3,5,12,38,"Well, when I tell my friends about her she will be."
Janice Litman Goralnik,3,6,1,2,Janice has a question. Who of the six of you has sleep with the six of you?
Janice Litman Goralnik,3,6,1,5,"Come on over the years none of you ever y'know, got drunk and stupid."
Janice Litman Goralnik,3,6,1,7,I'm sorry I find it hard to believe that a group of people who spends as much time together as you guys do has never bumped uglies.
Janice Litman Goralnik,3,6,1,12,"Okay, okay, well then answer me this. Has any of you ever.... almost?"
Janice Litman Goralnik,3,7,2,9,"Wait! Wait! I wanna see this. After I divorce him, half of that kingdom is gonna be mine."
Janice Litman Goralnik,3,7,2,12,"Oh, I cannot believe he's using our divorce to sell mattresses."
Janice Litman Goralnik,3,7,16,10,Oh my God.
Janice Litman Goralnik,3,8,7,2,How's my Bing-a-ling?
Janice Litman Goralnik,3,8,7,4,Why are your eyes so white?
Janice Litman Goralnik,3,8,7,6,Oh my God!!
Janice Litman Goralnik,3,8,7,8,How did you know?
Janice Litman Goralnik,3,8,7,10,In the park?
Janice Litman Goralnik,3,8,7,12,Just those two!
Janice Litman Goralnik,3,8,7,14,"Oh, I'm sorry honey, I'm so, so, haaaaa! I'm so, so sorry, I just haaaaaa! But I, oh what happened was, I-I-I can't breathe. Can you get me a bag, or something?"
Janice Litman Goralnik,3,8,7,17,The receipt.
Janice Litman Goralnik,3,8,7,19,I don't know.
Janice Litman Goralnik,3,8,11,3,Okay.
Janice Litman Goralnik,3,8,11,5,Wow!
Janice Litman Goralnik,3,8,11,7,"Oh! You're right. Oh God. But, before I can say 'good-bye', there's something I really need you to know, Chandler. The way I feel about you, it's like, I finally understand what Lionel Richie's been singing about. Y'know, I mean what we have, it's like movie love, you're my soulmate, and I can't believe we're not going to be spending the rest of our lives together."
Janice Litman Goralnik,3,8,11,9,What?
Janice Litman Goralnik,3,8,11,11,"No, you were right, you were right. I mean, I-I-I've got to give my marriage another chance."
Janice Litman Goralnik,3,8,11,13,I'm sorry.
Janice Litman Goralnik,3,8,11,15,"No, I-I-I gotta go."
Janice Litman Goralnik,3,8,11,17,"Honey, honey, people are looking."
Janice Litman Goralnik,3,8,11,19,"Yeah, um, I'm, I'm leaving now."
Janice Litman Goralnik,3,8,11,21,Good-bye Chandler Bing.
Richard Burke,3,13,1,8,I can help with that.
Richard Burke,3,13,1,10,Hi!
Richard Burke,3,13,1,12,"So, you look great."
Richard Burke,3,13,1,14,No you do. You... just...
Richard Burke,3,13,1,16,You've got panties stuck to your leg.
Richard Burke,3,13,1,18,It's good to see you.
Richard Burke,3,13,2,3,"He's gonna go up to the counter with Citizen Kane, Vertigo, and Clockwork Orgy. This is nice."
Richard Burke,3,13,2,5,I missed this.
Richard Burke,3,13,2,7,"So, you wanna get a hamburger or something?"
Richard Burke,3,13,2,9,"Oh. Look, just friends, I won't grope you. I promise."
Richard Burke,3,13,2,11,"No it's not too soon, I had lunch at a eleven."
Richard Burke,3,13,6,2,"So when people complement me on my cooking should I, what do I say?"
Richard Burke,3,13,6,5,"Ew, this feels very weird."
Richard Burke,3,13,6,7,"Yeah, well, sure I touch them, but I spent years learning not to squish them. That's my hand."
Richard Burke,3,13,6,9,Okay.
Richard Burke,3,13,6,11,Tomatoes are squishing.
Richard Burke,3,13,6,14,Op.
Richard Burke,3,13,6,16,Yeah.
Richard Burke,3,13,6,19,What?
Richard Burke,3,13,6,21,I'll just throw them out.
Richard Burke,3,13,8,5,You really sure?
Richard Burke,3,13,9,3,"Absolutely, this will just be something we do, like racquetball."
Richard Burke,3,13,9,5,Just your dad. Although that's actually racquetball. You know I-I do have a blind date with my sister's neighbour next Tuesday.
Richard Burke,3,13,9,7,You want me to cancel it?
Richard Burke,3,13,9,9,Okay.
Richard Burke,3,13,9,11,Exactly.
Richard Burke,3,13,11,10,Hello.
Richard Burke,3,13,13,3,"Really?! Well, it's just like everyone else's apartment. It's got rooms, walls, and ceilings."
Richard Burke,3,13,13,6,"Ah well, this is the living room."
Richard Burke,3,13,13,8,All right. This is the kitchen.
Richard Burke,3,13,13,10,The bedroom. Well it's pretty much your typical... bedroom.
Richard Burke,3,13,13,12,Um-hmm.
Richard Burke,3,13,13,14,Oh shoot! Maybe next time. Thanks for a lovely evening.
Richard Burke,3,13,13,17,"Oh, that was the blind date that I told you about, she called and switched it to today."
Richard Burke,3,13,13,19,"Well, you seem fine."
Richard Burke,3,13,13,21,You mean like exclusive friends?
Richard Burke,3,13,13,23,"Wow. Y'know we're back where we were. Honey, I would love to do all that, but nothing's changed."
Richard Burke,3,13,13,25,"Okay, okay, one thing's changed. But we still want different things and we know how this is gonna end."
Richard Burke,3,13,13,27,I know I couldn't. So....
Richard Burke,3,13,13,32,Ow!!
Carol Willick,3,17,7,2,Hi!
Carol Willick,3,17,7,4,"Hey, what are you doing here?"
Carol Willick,3,17,7,6,"Ah yeah, but now it's Susan and me in Mexico and the hostages coming home."
Carol Willick,3,17,7,8,He's sleeping.
Carol Willick,3,17,7,10,"Umm, yeah, actually, Susan's gonna be home any minute, it's kinda an anniversary."
Carol Willick,3,17,7,12,It's not that kind of anniversary.
Carol Willick,3,17,7,14,Sooo!! Anyway...
Carol Willick,3,17,7,16,"Oh God, Ross I am so sorry."
Carol Willick,3,17,7,18,"Y'know what, I want to talk to you about this so much, but we should probably do it when we could really get into it, are you free for dinner tomorrow night?"
Carol Willick,3,17,7,20,"Oh, great! Me too."
Carol Willick,3,17,9,3,"Ah, Susan will be so pleased."
Carol Willick,3,17,9,6,"No. But it's okay, I'll just put out pickles or something."
Carol Willick,3,17,9,17,"Phoebe, hang on a second. Here, take my car, go pick up your friends."
Carol Willick,3,17,9,19,"Listen, we both know you're gonna do it 'cause you're not a jerk. Okay? So you can either sulk here for a half hour and then go pick them up, or save us both time and sulk in the car."
Carol Willick,3,17,9,21,"Look, I-I-I am sorry that Rachel dumped you 'cause she fell in love with that Mark guy, and you are the innocent victim in all of this, but don't punish your friends for what Rachel did to you."
Carol Willick,3,17,9,23,Phoebe hang on a second Ross wants to say something. What? You slept with someone else?!
Carol Willick,3,17,9,25,You slept with another woman?
Carol Willick,3,17,11,2,Ugh. Ross!
Carol Willick,3,17,11,4,"Ahh, nooo!!"
Carol Willick,3,17,11,6,"You're a genius, Ross."
Carol Willick,3,17,11,8,"Okay, I'll pay you tomorrow."
Carol Willick,3,17,11,10,"Okay, bye!!"
Carol Willick,3,17,11,12,"Yeah, okay, bye."
Frank Buffay Jr.,3,18,2,5,Hi!
Frank Buffay Jr.,3,18,2,7,Hi!
Frank Buffay Jr.,3,18,2,9,How are you?
Frank Buffay Jr.,3,18,2,11,"Oh, well y'know, I would've called but I lost your phone number and then ah, my Mom locked me out of the house so I couldn't find it. And then, I tried to find a pay phone, and ah, the receiver was cut off. So..."
Frank Buffay Jr.,3,18,2,13,"Ah, oh, the ah, vandalism."
Frank Buffay Jr.,3,18,2,15,"Well, we got into a fight 'cause ah, she said I was to immature to get married."
Frank Buffay Jr.,3,18,2,17,"Oh, yeah!"
Frank Buffay Jr.,3,18,2,20,"Oh, I knew you'd be so cool about this. All right, ah, hey, do you want to meet her?"
Frank Buffay Jr.,3,18,2,22,Do you?
Frank Buffay Jr.,3,18,2,24,"Okay, cool, all right, she just ah, parking the truck. I'm gonna, I'm gonna get my ah, my fiance man!"
Frank Buffay Jr.,3,18,2,32,"Hey! Hey! This is ah, my fiance, Mrs. Knight."
Frank Buffay Jr.,3,18,2,37,"Well um, I was in ah Mrs. Knight's ah, I mean Alice, sorry, Alice, I always do that. I was in her ah, Home Ec class."
Frank Buffay Jr.,3,18,2,39,"Yeah, she was my best teacher."
Frank Buffay Jr.,3,18,2,47,"I mean, how hard can it be? Y'know, I mean, y'know, babies, y'know who doesn't want babies right? And besides y'know, I never had a Dad around, and ah, now-now I always will, 'cause y'know, it'll be me. Right?"
Frank Buffay Jr.,3,18,7,4,"What, you don't think I know that?"
Frank Buffay Jr.,3,18,7,7,"Okay, but isn't sex better when it's with one person that you really, really care about."
Frank Buffay Jr.,3,18,7,10,You don't have it anymore?
Frank Buffay Jr.,3,18,7,12,"Okay, so wait, all right, so how does that make things better?"
Frank Buffay Jr.,3,18,7,14,"Okay, so what you used to have with Rachel, is what I've got with Alice."
Frank Buffay Jr.,3,18,7,16,"It's so cool man, it's so, it's just 'cause being with her is so much better than like not being with her."
Frank Buffay Jr.,3,18,7,21,You can have it!
Frank Buffay Jr.,3,18,7,24,It's out there man! I've seen it! I got it!!
Frank Buffay Jr.,3,18,7,26,"All right, man!!"
Frank Buffay Jr.,3,18,11,2,"Hi. Wait, no! Just put the mail down. It's-it's me!"
Frank Buffay Jr.,3,18,11,4,"Oh well, um, your, your laundry just smelled so good, that I thought I'd curl up in it. Is that all right?"
Frank Buffay Jr.,3,18,11,6,"Oh, well just probably the worst one since I've been alive."
Frank Buffay Jr.,3,18,11,8,"Umm, Alice ah, she ah, called it off."
Frank Buffay Jr.,3,18,11,10,"Uh, no, not really, just that I was too young, y'know, but I don't see how I could all of the sudden be too young, 'cause I'm older than I was when we first got together."
Frank Buffay Jr.,3,18,11,12,"Yeah, if the best is like unbelievable pain!"
Frank Buffay Jr.,3,18,11,14,"Y'know, I just was finally happy y'know. For the first time in my life! After my Dad left me, and then, and then getting arrested for stealing those birds, and then, and then the whole punctured lung thing! I can, it's still really hard to take deep breaths in cold weather, but with Alice all that stuff kinda went away. And now it's, and now it's gone and I don't know why!"
Frank Buffay Jr.,3,18,11,16,What?
Frank Buffay Jr.,3,18,11,18,"Wait a minute, wait, this is because of you?"
Frank Buffay Jr.,3,18,11,20,"Well, you, wait no, my Mother didn't want us to be together, but the worst thing she ever did was tie me to the porch."
Frank Buffay Jr.,3,18,11,22,"Wait, y'know what, I-I came to you because I thought you'd understand! Oh no!! Y'know, I would storm out of here right now if-if I had some money, or a place to go..."
Frank Buffay Jr.,3,18,15,4,"Hi, Mrs. Knight."
Judy Geller,4,3,4,2,How's the hired help?
Judy Geller,4,3,4,4,What's this? Blue nail polish?
Judy Geller,4,3,4,6,"Ahh, that's what your Grandmother's hands looked like when we found her."
Judy Geller,4,3,4,8,Hmm.
Judy Geller,4,3,4,10,"Oh, well Richard raved about the food at his party, of course you were sleeping with him. Then I heard the food at that lesbian wedding was very nice, I assume you weren't sleeping with anybody there. Though, at least that would be something."
Judy Geller,4,3,6,9,"Honey, don't bite your nails."
Judy Geller,4,3,6,12,I'm not freaking out.
Judy Geller,4,3,6,14,"It's nothing, it's just that now your Father owes me five dollars."
Judy Geller,4,3,6,16,"Oh no, don't be silly. I just bet I'd need these."
Judy Geller,4,3,6,18,Um-hmm.
Judy Geller,4,3,6,20,"No-no-no, that was all true. This was just in case you pulled a Monica."
Judy Geller,4,3,6,22,"Oh honey, come on, have a sense of humour, you've never been able to laugh at yourself."
Judy Geller,4,3,6,25,"No, I have faith..."
Judy Geller,4,3,14,8,"Well, everyone seems to be enjoying your dish."
Judy Geller,4,3,14,10,I thought it was... quite tasty.
Judy Geller,4,3,14,12,A bitch?
Judy Geller,4,3,14,14,"Yes, well I was wrong, and I have to say you really impressed me today."
Judy Geller,4,3,14,17,"And the next time you cater for me, there will be nothing but ice in the freezer."
Frank Buffay Jr.,4,11,1,3,Oh I know!!
Frank Buffay Jr.,4,11,1,5,"'Cause it just sorta happened, y'know we were at the courthouse, we were having lunch..."
Frank Buffay Jr.,4,11,1,7,"We were having lunch. Yeah and then all of the sudden we were like, ""Hey! Y'know, we're here, having lunch let's get married!"
Frank Buffay Jr.,4,11,1,9,"Uhh, yeah."
Frank Buffay Jr.,4,11,1,11,"See the thing is umm, we're not able to y'know, uh, conceive."
Frank Buffay Jr.,4,11,1,13,"Yeah, and they-and they say that our-that our only chance to have a baby is that if they take my sperm, her egg and put it together in a dish and then put it into another girl. So we were wondering if you could be the girl that we could put it into."
Frank Buffay Jr.,4,11,10,8,Hi!
Frank Buffay Jr.,4,11,10,10,"Yeah, so we just thought we'd stop by and let you know there's still no pressure."
Frank Buffay Jr.,4,11,10,13,"Oh, who's this little guy?!"
Frank Buffay Jr.,4,11,10,15,"Oh, he's so cute, he reminds me of my old dog, Tumour."
Frank Buffay Jr.,4,11,10,18,Are you serious?
Frank Buffay Jr.,4,11,10,20,"Oh, thanks."
Frank Buffay Jr.,4,11,10,24,"Oh my God, I think I'm gonna cry!"
Frank Buffay Jr.,4,12,3,4,"Well, okay, so what's now-go get, go get the eggs, put 'em in there."
Frank Buffay Jr.,4,12,3,11,"Hey, y'know I was thinking, what are the odds like if-if, if you stuff like 200 of them in there?"
Frank Buffay Jr.,4,12,3,14,"Well, you see, the-the thing is, we-we only got, we kinda have one shot to make it right."
Frank Buffay Jr.,4,12,3,19,I know! Why don't you get drunk! That worked for a lot of girls in my high school.
Frank Buffay Jr.,4,12,8,55,"Umm, it's a lollipop and a uh, a home pregnancy test."
Frank Buffay Jr.,4,12,8,60,Okay.
Frank Buffay Jr.,4,12,8,75,MY SISTER'S GONNA HAVE MY BABY!!!!!!!
Emily Waltham,4,14,3,45,Yes.
Emily Waltham,4,14,3,47,Thank goodness.
Emily Waltham,4,14,3,49,"Really?! Well, that's just lovely, isn't it? I must've missed your call, even though I didn't leave the flat all day."
Emily Waltham,4,14,3,51,"Oh, no-no-no, that's not rude! It's perfectly in keeping with a trip that I've already been run down by one of your wiener carts, and been strip-searched at John F. Kennedy Airport, apparently to you people, I look like someone who's got a balloon full of cocaine stuffed up their bum."
Emily Waltham,4,14,3,53,"Good night, it was very nice to meet you all."
Emily Waltham,4,14,5,8,Ross! Come quickly! There's a deer just outside eating fruit from the orchard!
Janice Litman Goralnik,4,15,2,17,"Oh well, I'm divorced."
Janice Litman Goralnik,4,15,2,19,"Yeah, I'm riding the alimony pony."
Janice Litman Goralnik,4,15,2,21,"I just came up to say, ""Hi!"" Hi! And you, sweetie, I'll see you tonight."
Janice Litman Goralnik,4,15,2,23,Bye.
Janice Litman Goralnik,4,15,2,25,Bye.
Janice Litman Goralnik,4,15,2,27,Bye.
Janice Litman Goralnik,4,15,2,29,Bye-bye.
Emily Waltham,4,15,3,2,"I can't believe you really walk alone here! I mean, you hear such stories about New York."
Emily Waltham,4,15,3,6,"No, no, no Ross! Ross, these are friends of mine from home. Liam, Devon, this is Ross."
Emily Waltham,4,15,3,10,"So how are you? I've been meaning to ring you ever since I arrived but umm, well, I've been rather busy."
Emily Waltham,4,15,3,12,Oh my God. I think you're right.
Emily Waltham,4,15,3,14,"Oh, Liam."
Emily Waltham,4,15,3,18,Ross play rugby? I don't think so.
Emily Waltham,4,15,3,20,"Well I mean, you're American to start with. You don't even have rugby here."
Janice Litman Goralnik,4,15,4,2,"Oh boy, I just love to sing!"
Janice Litman Goralnik,4,15,4,4,"Oh, look at us! Who would've thought that Cupid had a station at 14th Street Nails."
Janice Litman Goralnik,4,15,4,6,"I know! And I'm just getting out of a marriage, I mean talk about meant to be!"
Janice Litman Goralnik,4,15,4,8,"Oh, too soon, too schmoon. Face it honey, I am not letting you get away this time."
Janice Litman Goralnik,4,15,4,10,Oh no! Where to? Too Paris?
Janice Litman Goralnik,4,15,4,14,When?
Janice Litman Goralnik,4,15,4,16,"Ugh, well I will just have to soak up every once of Chandler Bing until that moment comes."
Janice Litman Goralnik,4,15,6,5,Hey there Ross!
Janice Litman Goralnik,4,15,6,9,"Ohh, well when you said all you were going to be doing between now and the time you leave is packing, you didn't really leave me much choice. Did you?"
Janice Litman Goralnik,4,15,6,17,"Chandler! Come on, I'm gonna show how to roll up your underwear and stuff it in your shoes. It's a real space saver."
Janice Litman Goralnik,4,15,6,19,"Okay, Chandler, come on!"
Emily Waltham,4,15,7,5,I'm just going to say hi to the lads. All right?
Emily Waltham,4,15,7,7,Okay.
Emily Waltham,4,15,7,19,"Liam, do me a favour. Tell the lads to go easy on Ross, it's his first time."
Emily Waltham,4,15,7,21,"Good luck, babe."
Janice Litman Goralnik,4,15,9,3,"Oh please. Every moment is precious. Y'know? Besides, somebody had to ride in that other taxi with the rest of your luggage, and your friends don't really seem to care too much that you're leaving."
Janice Litman Goralnik,4,15,9,5,"On no! No! It's not good-bye, I'm not leaving until you get on that plane."
Janice Litman Goralnik,4,15,9,14,What's the matter? Is something wrong? Do you have to stay?
Emily Waltham,4,15,10,2,I can't believe they're doing that to him! I told them to go easy on him!
Emily Waltham,4,15,10,5,"That's just halftime, there's more of this."
Emily Waltham,4,15,10,8,Right.
Emily Waltham,4,15,10,10,Okay.
Emily Waltham,4,15,10,14,"Ross, they are killing you out there!"
Emily Waltham,4,15,10,20,"All right, all right, if you insist on doing this, at least let me help you."
Emily Waltham,4,15,10,22,No. That's not what I'm saying. I just may know a few things that might help you inflict some pain.
Emily Waltham,4,15,10,24,"Yeah? Listen closely, Devon has got a weak ankle."
Emily Waltham,4,15,10,26,One swift kick and he'll back off.
Emily Waltham,4,15,10,28,"And that big bloke with the beard, he has got a trick hip. Yeah. And uh, and David over there, I heard he doesn't wear a cup."
Emily Waltham,4,15,10,30,"And uh, Liam, Liam's got bad knees. You hit him right and he'll go down like a lamp."
Emily Waltham,4,15,10,32,I don't care! You just get him!
Emily Waltham,4,15,12,8,You were amazing out there.
Emily Waltham,4,15,12,10,Oh my God!
Emily Waltham,4,15,12,12,You really enjoyed yourself didn't you?
Emily Waltham,4,15,12,14,I think you've got concussion.
Emily Waltham,4,15,12,16,You're welcome. I'm sorry. Did I hurt you?
Janice Litman Goralnik,4,15,13,4,"Oh, my Bing-a-ling. I'll wait for you. Do you even know how long you're going to be gone?"
Janice Litman Goralnik,4,15,13,6,"Oh. Well, I'll right you everyday. 15 Yemen Road, Yemen."
Janice Litman Goralnik,4,15,13,9,Chandler?
Janice Litman Goralnik,4,15,13,11,Chandler!
Janice Litman Goralnik,4,15,13,13,No! No! I wanna see you take-off.
Emily Waltham,4,16,2,11,"My uncle dragged us there. But, it actually it turned out to be really interesting."
Emily Waltham,4,16,2,13,"They were so ornate and beautiful, I mean look at that!"
Emily Waltham,4,16,2,15,"I uh, I got it from the gift shop. They have really lax security there. It's a joke."
Emily Waltham,4,16,2,17,"Right, I've got to be off, I'll see ya. Buh-bye then."
Emily Waltham,4,16,4,8,Hello?
Emily Waltham,4,16,4,11,No one's ever thrown me a surprise party before!
Emily Waltham,4,16,4,13,You're so sweet! And I'm so surprised!
