speaker,emotion,season,episode,scene,utterance,text
Joey Tribbiani,Neutral,2,2,1,11,"Yeah, we know, but there's a baby suckin' on it."
Ross Geller,Mad,2,2,1,12,"This is my son having lunch, ok? It's gonna happen a lot, so you'd better get used to it. Now if you have any problem with it, if you're uncomfortable, just ask questions. Carol's fine with it, now come on."
Ross Geller,Neutral,2,2,1,13,Carol?
Chandler Bing,Neutral,2,2,1,14,Carol? I was just wondering if Joey could ask you a question about breast-feeding?
Carol Willick,Neutral,2,2,1,15,Sure.
Joey Tribbiani,Scared,2,2,1,16,"Uh, does it hurt?"
Carol Willick,Neutral,2,2,1,17,"It did at first, but not anymore."
Joey Tribbiani,Neutral,2,2,1,18,Chandler?
Chandler Bing,Scared,2,2,1,19,"So, uh, how often can you do it?"
Carol Willick,Neutral,2,2,1,20,As much as he needs.
Joey Tribbiani,Joyful,2,2,1,21,"Ok, I got one, I got one. Uh, if he blows into one, does the other one get bigger?"
Julie,Neutral,2,2,2,2,"Rachel, do you have any muffins left?"
Rachel Green,Neutral,2,2,2,3,"Yeah, I forget which ones."
Julie,Neutral,2,2,2,4,"Oh, you're busy, that's ok, I'll get it. Anybody else want one?"
#ALL#,Neutral,2,2,2,5,No thanks.
Julie,Neutral,2,2,2,6,"Oh, you're losin' your apron here, let me get it. There you go."
Rachel Green,Mad,2,2,2,7,Thank you. What a bitch.
Julie,Neutral,2,2,2,8,"Oh, listen you guys. I have this friend at Bloomingdale's who's quitting tomorrow and he wants to abuse his discount. So, anyone want to come with me and take advantage of it?"
Phoebe Buffay,Neutral,2,2,2,9,"I can't, I have to take my grandmother to the vet."
Monica Geller,Neutral,2,2,2,10,"Ok, um, I'll go with you."
Julie,Joyful,2,2,2,11,Great.
Ross Geller,Joyful,2,2,2,12,"Hi, honey."
Chandler Bing,Joyful,2,2,2,13,"Hey, sweetums."
Ross Geller,Neutral,2,2,2,14,Hello to the rest.
#ALL#,Joyful,2,2,2,15,Hi!
Joey Tribbiani,Neutral,2,2,2,16,Monica what're you doin'? You can't go shopping with her? What about Rachel?
Monica Geller,Neutral,2,2,2,17,"It's gonna be a problem, isn't it?"
Chandler Bing,Mad,2,2,2,18,"Come on, you're going to Bloomingdale's with Julie? That's like cheating on Rachel in her house of worship."
Monica Geller,Neutral,2,2,2,19,But I'm...
Phoebe Buffay,Scared,2,2,2,20,"Monica, she will kill you. She will kill you like a dog in the street."
Ross Geller,Neutral,2,2,2,21,"So, uh, Jules tells me you guys are going shopping tomorrow?"
Monica Geller,Neutral,2,2,2,22,"Yeah, uh, it's actually not that big a deal."
Ross Geller,Joyful,2,2,2,23,"It's a big deal to me. This is great, Monica. I really appreciate this."
Monica Geller,Neutral,2,2,2,24,You're welcome.
Phoebe Buffay,Neutral,2,2,2,25,"Woof, woof."
Joey Tribbiani,Joyful,2,2,3,2,Bijan for men? Bijan for men? Bijan for men? Hey Annabelle.
Annabelle,Neutral,2,2,3,3,"Hey, Joey. So did you hear about the new guy?"
Joey Tribbiani,Scared,2,2,3,4,Who?
Annabelle,Joyful,2,2,3,5,Nobody knows his name. Me and the girls just call him the Hombre man.
Hombre Man,Neutral,2,2,3,6,Hombre?
Joey Tribbiani,Scared,2,2,3,7,What's he doin' in my section?
Annabelle,Neutral,2,2,3,8,I guess he doesn't know.
Joey Tribbiani,Mad,2,2,3,9,"Well, he's gonna. I'll see you a little later, ok? Hey, how ya doin'?"
Hombre Man,Neutral,2,2,3,10,Mornin'.
Joey Tribbiani,Mad,2,2,3,11,"Listen, I know you're new, but it's kinda understood that everything from Young Men's to the escalator is my territory."
Hombre Man,Mad,2,2,3,12,"Your territory, huh?"
Joey Tribbiani,Powerful,2,2,3,13,Yeah. Bijan for men?
Guy,Neutral,2,2,3,14,No thanks.
Hombre Man,Neutral,2,2,3,15,Hombre?
Guy,Joyful,2,2,3,16,Yeah. All right.
Hombre Man,Powerful,2,2,3,17,You were saying?
Monica Geller,Neutral,2,2,4,2,"Phoebe, listen. You were with me, and we were shopping all day."
Phoebe Buffay,Neutral,2,2,4,3,What?
Monica Geller,Neutral,2,2,4,4,"We were shopping, and we had lunch."
Phoebe Buffay,Neutral,2,2,4,5,"Oh, all right. What did I have?"
Monica Geller,Neutral,2,2,4,6,You had a salad.
Phoebe Buffay,Neutral,2,2,4,7,"Oh, no wonder I don't feel full."
Rachel Green,Neutral,2,2,4,8,"Hey, guys, what's up."
Phoebe Buffay,Neutral,2,2,4,9,"I went shopping with Monica all day, and I had a salad."
Rachel Green,Neutral,2,2,4,10,"Good, Pheebs. What'd you buy?"
Phoebe Buffay,Scared,2,2,4,11,"Um, we went shopping for um, for, fur."
Rachel Green,Neutral,2,2,4,12,You went shopping for fur?
Phoebe Buffay,Scared,2,2,4,13,"Yes, and then I realized I'm against that, and uh, so then we bought some, uh, boobs."
Rachel Green,Neutral,2,2,4,14,You bought boobs?
Phoebe Buffay,Scared,2,2,4,15,Bras! We bought bras! We bought bras.
Joey Tribbiani,Scared,2,2,5,2,"Bijan for men? Bijan for men? Bijan for... Hey, Annabelle, Uh, listen, I was wondering if maybe after work you and I could go maybe grab a cup of coffee."
Annabelle,Sad,2,2,5,3,"Oh, actually I sorta have plans."
Hombre Man,Neutral,2,2,5,4,"Ready, Annabelle?"
Annabelle,Neutral,2,2,5,5,You bet. Maybe some other time?
Joey Tribbiani,Joyful,2,2,5,6,"Hey, it's not the first time I lost a girl to a cowboy spraying cologne. Bijan for men? Bijan for men?!"
Carol Willick,Joyful,2,2,6,2,"Ok, and this is Funny Clown. Funny Clown is only for after his naps, not before his naps or he won't sleep."
Ross Geller,Powerful,2,2,6,3,"Carol, we've been through this before, ok? We have a good time. We laugh, we play. It's like we're father and son."
Susan Bunch,Joyful,2,2,6,4,"Honey, relax. Ross is great with him. Don't look so surprised. I'm a lovely person."
Rachel Green,Joyful,2,2,6,5,"Oh, this is so cute."
Susan Bunch,Joyful,2,2,6,6,"Oh, I got that for him."
Ross Geller,Joyful,2,2,6,7,My mommies love me. That's clever.
Monica Geller,Powerful,2,2,6,8,"Hello? Oh, Hi, Ju Hi, Jew! Uh huh? Uh huh? Ok. Um, sure, that'd be great. See ya then. Bye."
Rachel Green,Neutral,2,2,6,9,"Did you just say Hi, Jew?"
Monica Geller,Joyful,2,2,6,10,"Yes. Uh, yes, I did. That was my friend, Eddie Moskowitz. Yeah, he likes it. Reaffirms his faith."
Phoebe Buffay,Joyful,2,2,7,2,"Ben, dinner!"
Ross Geller,Scared,2,2,7,3,"Thanks Aunt Pheebs. Hey, you didn't microwave that, did you, because it's breast milk, and you're not supposed to do that."
Phoebe Buffay,Powerful,2,2,7,4,"Duh, I think I know how to heat breast milk. Ok."
Chandler Bing,Mad,2,2,7,5,What did you just do?
Phoebe Buffay,Powerful,2,2,7,6,"I licked my arm, what?"
Ross Geller,Mad,2,2,7,7,It's breast milk.
Phoebe Buffay,Neutral,2,2,7,8,So?
Rachel Green,Powerful,2,2,7,9,"Phoebe, that is juice, squeezed from a person."
Joey Tribbiani,Powerful,2,2,7,10,What is the big deal?
Chandler Bing,Scared,2,2,7,11,What did you just do?
Ross Geller,Mad,2,2,7,12,"Ok, would people stop drinking the breast milk?"
Phoebe Buffay,Peaceful,2,2,7,13,You won't even taste it?
Ross Geller,Mad,2,2,7,14,No!
Phoebe Buffay,Peaceful,2,2,7,15,Not even if you just pretend that it's milk?
Ross Geller,Neutral,2,2,7,16,Not even if Carol's breast had a picture of a missing child on it.
Monica Geller,Sad,2,2,9,2,"Hi, who's this? Hi, Joanne. Is Rachel working? It's Monica. Yes, I know I did a horrible thing. Joanne, it's not as simple as all that, ok? No, I don't care what Steve thinks. Hi, Steve."
Carol Willick,Neutral,2,2,9,4,How did we do?
Phoebe Buffay,Neutral,2,2,9,5,"Oh, I tasted Ben's milk, and Ross freaked out."
Ross Geller,Neutral,2,2,9,6,I did not freak out.
Carol Willick,Neutral,2,2,9,7,Why'd you freak out?
Ross Geller,Scared,2,2,9,8,Because it's breast milk. It's gross.
Carol Willick,Mad,2,2,9,9,My breast milk is gross?
Susan Bunch,Neutral,2,2,9,10,This should be fun.
Ross Geller,Neutral,2,2,9,11,"No, no, Carol. There's nothing wrong with it. I just, I just don't think breast milk is for adults."
Chandler Bing,Neutral,2,2,9,12,Of course the packaging does appeal to grown-ups and kids alike.
Carol Willick,Neutral,2,2,9,13,"Ross, you're being silly. I've tried it, it's no big deal. Just taste it."
Ross Geller,Scared,2,2,9,14,That would be no.
Phoebe Buffay,Neutral,2,2,9,15,Come on. It doesn't taste bad.
Joey Tribbiani,Neutral,2,2,9,16,"Yeah, it's kinda sweet, sorta like, uh..."
Susan Bunch,Neutral,2,2,9,17,Cantaloupe juice.
Joey Tribbiani,Neutral,2,2,9,18,Exactly.
Ross Geller,Scared,2,2,9,19,You've tasted it? You've tasted it.
Susan Bunch,Neutral,2,2,9,20,Uh huh.
Ross Geller,Neutral,2,2,9,21,"Oh, you've tasted it."
Susan Bunch,Neutral,2,2,9,22,"You can keep saying it, but it won't stop being true."
Ross Geller,Neutral,2,2,9,23,Gimme the bottle. Gimme the towel.
Chandler Bing,Joyful,2,2,10,2,Howdy.
Joey Tribbiani,Neutral,2,2,10,3,"Gimme a box a juice. Well, they switched me over to Hombre."
Chandler Bing,Neutral,2,2,10,4,"Well, maybe it's because of the way you're dressed."
Joey Tribbiani,Sad,2,2,10,5,"Or maybe it's because this guy's doing so good they wanna put more people on it. You should see this guy, Chandler, he goes through two bottles a day."
Chandler Bing,Mad,2,2,10,6,What do you care? You're an actor. This is your day job. This isn't supposed to mean anything to you.
Joey Tribbiani,Mad,2,2,10,7,"I know, but, I was the best, you know? I liked being the best. I don't know. Maybe I should just get outta the game. They need guys up in housewares to serve cheese."
Chandler Bing,Neutral,2,2,10,8,"All right, say you do that. You know sooner or later somebody's gonna come along that slices a better cheddar. And then where're you gonna run?"
Joey Tribbiani,Peaceful,2,2,10,9,Yeah I guess you're right.
Chandler Bing,Mad,2,2,10,10,You're damn right I'm right. I say you show this guy what you're made of. I say you stand your ground. I say you show him that you are the baddest hombre west of the lingerie.
Joey Tribbiani,Powerful,2,2,10,11,I'm gonna do it.
Chandler Bing,Joyful,2,2,10,12,All right. Now go see Miss Kitty and she'll fix you up with a nice hooker.
Monica Geller,Sad,2,2,11,2,I don't know what else to say.
Rachel Green,Powerful,2,2,11,3,"Well that works out good, because I'm not listening."
Monica Geller,Sad,2,2,11,4,"I feel terrible, I really do."
Rachel Green,Mad,2,2,11,5,"Oh, I'm sorry, did my back hurt your knife?"
Monica Geller,Scared,2,2,11,6,"Rachel, say that I'm friends with her, we spend some time together. Is that so terrible?"
Rachel Green,Peaceful,2,2,11,7,Yes.
Monica Geller,Scared,2,2,11,8,It's that terrible?
Rachel Green,Sad,2,2,11,9,"Yes. Monica, you don't get it. It's bad enough that she's stolen the guy who might actually be the person that I am supposed to be with, but now, she's actually , but now she's actually stealing you."
Monica Geller,Scared,2,2,11,10,"Me? What are you talking about? Nobody could steal me from you. I mean, just because I'm friends with her doesn't make me any less friends with you. I mean, you're my...We're, we're...Oh, I love you."
Rachel Green,Peaceful,2,2,11,11,I love you too.
Phoebe Buffay,Joyful,2,2,11,12,"You guys, um I know that this really doesn't have anything to do with me, but um I love you guys too. Oh, I really needed that."
Monica Geller,Scared,2,2,11,13,"Look, I know that you're in a place right now where you really need to hate Julie's guts, but she didn't do anything wrong. I mean, she was just a girl who met a guy, and now they go out. I really think that if you gave her a chance, you'd like her. Would you just give that a chance, for me?"
Rachel Green,Peaceful,2,2,11,14,"I'd do anything for you, you know that."
Monica Geller,Peaceful,2,2,11,15,I'd do anything for you.
Phoebe Buffay,Peaceful,2,2,11,16,"Wait, wait, wait, wait!"
Joey Tribbiani,Mad,2,2,12,2,"Mornin'. I said, mornin'."
Hombre Man,Neutral,2,2,12,3,I heard ya.
Store Guy,Neutral,2,2,12,4,"All right, everybody, I'm openin' the doors. You boys ready?"
Hombre Man,Neutral,2,2,12,5,Ready.
Joey Tribbiani,Powerful,2,2,12,6,"Yeah, I'm ready."
Customer,Mad,2,2,12,7,"You idiot, you stupid cowboy, you blinded me, I'm suing!"
Store Guy,Mad,2,2,12,8,"Oh my god, Todd! What the hell did you do?"
Hombre Man,Scared,2,2,12,9,"I'm sorry. I am such a doofus. I'm so sorry, I'm so sorry."
Annabelle,Scared,2,2,12,10,"My god, what happened?"
Joey Tribbiani,Neutral,2,2,12,11,"These new kids, they never last. Sooner or later, they all...stop lastin'. Listen, uh, what do you say I buy you that cup of coffee now?"
Annabelle,Neutral,2,2,12,12,Sure.
Julie,Neutral,2,2,13,2,So.
Rachel Green,Scared,2,2,13,3,"So. I just thought the two of us should hang out for a bit. I mean, you know, we've never really talked. I guess you'd know that, being one of the two of us, though, right?"
Julie,Scared,2,2,13,4,"I know, I probably shouldn't even tell you this, but I'm pretty much totally intimidated by you."
Rachel Green,Scared,2,2,13,5,Really? Me?
Julie,Sad,2,2,13,6,"Yes. Oh my god, are you kidding? Ross is so crazy about you, and I really wanted you to like me, and, it's probably me being totally paranoid, but I kinda got the feeling that maybe you don't."
Rachel Green,Neutral,2,2,13,7,"Well, you're not totally paranoid."
Julie,Sad,2,2,13,8,Oy.
Rachel Green,Sad,2,2,13,9,"Um, ok, uh, oh god, um, when you and uh Ross first started going out, it was really hard for me, um, for many reasons, which I'm not gonna bore you with now, but um, I just, I see how happy he is, you know, and how good you guys are together, and um, Monica's always saying how nice you are, and god I hate it when she's right."
Julie,Peaceful,2,2,13,10,"Thanks. Hey, listen, would you like to go to a movie sometime or something?"
Rachel Green,Joyful,2,2,13,11,"Yeah, that'd be great. I'd love it."
Julie,Neutral,2,2,13,12,"I'd love it too. Shoot, I gotta go. So, I'll talk to you later."
Rachel Green,Neutral,2,2,13,13,"All right, Julie."
Julie,Neutral,2,2,13,14,Bye.
Rachel Green,Mad,2,2,13,15,Bye. What a manipulative bitch.
Monica Geller,Neutral,2,3,2,1,Mr. Heckles.
Rachel Green,Neutral,2,3,2,2,How did this happen?
Mr. Treeger,Sad,2,3,2,3,He musta been sweepin'. They found a broom in his hand.
Monica Geller,Sad,2,3,2,4,That's terrible.
Mr. Treeger,Sad,2,3,2,5,I know. I was sweepin' yesterday. It coulda been me.
Ross Geller,Sad,2,3,2,6,"Sure, sweepin'. You never know."
Mr. Treeger,Sad,2,3,2,7,You never know.
Phoebe Buffay,Sad,2,3,2,8,"Ok, it's very faint, but I can still sense him in the building. Go into the light, Mr. Heckles!"
Chandler Bing,Neutral,2,3,2,9,"Ok, Phoebe."
Phoebe Buffay,Sad,2,3,2,10,"I'm sorry, but sometimes they need help. That's fine. Go ahead and scoff. You know, there're a lot of things that I don't believe in, but that doesn't mean they're not true."
Joey Tribbiani,Neutral,2,3,2,11,Such as?
Phoebe Buffay,Joyful,2,3,2,12,"Like crop circles, or the Bermuda triangle, or evolution?"
Ross Geller,Scared,2,3,2,13,"Whoa, whoa, whoa. What, you don't, uh, you don't believe in evolution?"
Phoebe Buffay,Neutral,2,3,2,14,Nah. Not really.
Ross Geller,Scared,2,3,2,15,You don't believe in evolution?
Phoebe Buffay,Peaceful,2,3,2,16,"I don't know, it's just, you know...monkeys, Darwin, you know, it's a, it's a nice story, I just think it's a little too easy."
Ross Geller,Mad,2,3,2,17,"Too easy? Too...The process of every living thing on this planet evolving over millions of years from single-celled organisms, too easy?"
Phoebe Buffay,Peaceful,2,3,2,18,"Yeah, I just don't buy it."
Ross Geller,Mad,2,3,2,19,"Uh, excuse me. Evolution is not for you to buy, Phoebe. Evolution is scientific fact, like, like, like the air we breathe, like gravity."
Phoebe Buffay,Peaceful,2,3,2,20,"Ok, don't get me started on gravity."
Ross Geller,Mad,2,3,2,21,"You uh, you don't believe in gravity?"
Phoebe Buffay,Peaceful,2,3,2,22,"Well, it's not so much that you know, like I don't believe in it, you know, it's just...I don't know, lately I get the feeling that I'm not so much being pulled down as I am being pushed."
Chandler Bing,Joyful,2,3,2,23,"Uh-Oh. It's Isaac Newton, and he's pissed."
Mr. Treeger,Joyful,2,3,3,1,"There she is. And over there, that's the other one. This is Mr. Buddy Boyle, Mr. Heckles' attorney. He'd like to talk to you."
Monica Geller,Joyful,2,3,3,2,What can we do for you?
Buddy Boyles,Peaceful,2,3,3,3,"All right, kids. Here's the deal. According to my client's will, he wants to leave all his earthly possessions to ""the noisy girls in the apartment above mine""."
Monica Geller,Sad,2,3,3,4,"Well, what about his family?"
Buddy Boyles,Powerful,2,3,3,5,He didn't have any.
Rachel Green,Peaceful,2,3,3,6,"Ok, so let's talk money."
Buddy Boyles,Powerful,2,3,3,7,"All right, there was none. Let's talk signing. You be noisy girl number one, you be noisy girl number two."
Ross Geller,Scared,2,3,5,1,How can you not believe in evolution?
Phoebe Buffay,Joyful,2,3,5,2,Just don't. Look at this funky shirt!
Ross Geller,Scared,2,3,5,3,"Pheebs, I have studied evolution my entire adult life. Ok, I can tell you, we have collected fossils from all over the world that actually show the evolution of different species, ok? You can literally see them evolving through time."
Phoebe Buffay,Neutral,2,3,5,4,Really? You can actually see it?
Ross Geller,Powerful,2,3,5,5,"You bet. In the U.S., China, Africa, all over."
Phoebe Buffay,Neutral,2,3,5,6,"See, I didn't know that."
Ross Geller,Powerful,2,3,5,7,"Well, there you go."
Phoebe Buffay,Neutral,2,3,5,8,"Huh. So now, the real question is, who put those fossils there, and why?"
Chandler Bing,Joyful,2,3,6,1,"Hey, look at this. ""My Big Book of Grievances."""
Joey Tribbiani,Joyful,2,3,6,2,"Hey, there's me! April 17th. Excessive noise. Italian guy comes homes with a date. Hey Chandler, look, you're in here too."
Chandler Bing,Powerful,2,3,6,3,"April 18th, excessive noise. Italian guy's gay roommate comes home with the dry-cleaning. Well that's excellent."
Rachel Green,Joyful,2,3,6,4,"Monica, Monica, look at this lamp. Is this tacky or what? We have to have this."
Monica Geller,Mad,2,3,6,5,"Rache, I think we have enough regular lamps."
Rachel Green,Joyful,2,3,6,6,"What? Come on, it's not like I'm asking for this girly clock or anything, which, by the way, I also think is very cool."
Monica Geller,Mad,2,3,6,7,It doesn't go with any of my stuff.
Rachel Green,Mad,2,3,6,8,"Well, what about my stuff?"
Monica Geller,Powerful,2,3,6,9,You don't have any stuff.
Rachel Green,Mad,2,3,6,10,"You still think of it as your apartment, don't you?"
Monica Geller,Neutral,2,3,6,11,No.
Rachel Green,Mad,2,3,6,12,"Yes you do. You think of it as your apartment, and I'm just somebody who rents a room."
Monica Geller,Neutral,2,3,6,13,Mmmmm.
Rachel Green,Powerful,2,3,6,14,"Ok, while you ""mmm"" on it for awhile, I'm gonna go find a place for my new lamp."
Ross Geller,Joyful,2,3,7,1,"Ok, Pheebs. See how I'm making these little toys move? Opposable thumbs. Without evolution, how do you explain opposable thumbs?"
Phoebe Buffay,Neutral,2,3,7,2,Maybe the overlords needed them to steer their spacecrafts.
Ross Geller,Mad,2,3,7,3,Please tell me you're joking.
Phoebe Buffay,Mad,2,3,7,4,"Look, can't we just say that you believe in something, and I don't."
Ross Geller,Mad,2,3,7,5,"No, no, Pheebs, we can't, ok, because--"
Phoebe Buffay,Mad,2,3,7,6,"What is this obsessive need you have to make everyone agree with you? No, what's that all about? I think, I think maybe it's time you put Ross under the microscope."
Ross Geller,Scared,2,3,7,7,Is there blood coming out of my ears?
Monica Geller,Neutral,2,3,9,1,"Hey, Rache. You know what we haven't played in a while?"
Rachel Green,Neutral,2,3,9,2,What?
Monica Geller,Joyful,2,3,9,3,Hide the Lamp.
Rachel Green,Mad,2,3,9,4,"Monica, let it go."
Monica Geller,Mad,2,3,9,5,Did you know I was allergic to shellfish?
Rachel Green,Mad,2,3,9,6,"Well, then, you'll just have to eat the other lamps."
Phoebe Buffay,Scared,2,3,10,1,Uh-oh. It's Scary Scientist Man.
Ross Geller,Joyful,2,3,10,2,"Ok, Phoebe, this is it. In this briefcase I carry actual scientific facts. A briefcase of facts, if you will. Some of these fossils are over 200 million years old."
Phoebe Buffay,Peaceful,2,3,10,3,"Ok, look, before you even start, I'm not denying evolution, ok, I'm just saying that it's one of the possibilities."
Ross Geller,Mad,2,3,10,4,"It's the only possibility, Phoebe."
Phoebe Buffay,Peaceful,2,3,10,5,"Ok, Ross, could you just open your mind like this much, ok? Wasn't there a time when the brightest minds in the world believed that the world was flat? And, up until like what, 50 years ago, you all thought the atom was the smallest thing, until you split it open, and this like, whole mess of crap came out. Now, are you telling me that you are so unbelievably arrogant that you can't admit that there's a teeny tiny possibility that you could be wrong about this?"
Ross Geller,Joyful,2,3,10,6,"There might be, a teeny, tiny, possibility."
Phoebe Buffay,Joyful,2,3,10,7,I can't believe you caved.
Ross Geller,Neutral,2,3,10,8,What?
Phoebe Buffay,Joyful,2,3,10,9,"You just abandoned your whole belief system. I mean, before, I didn't agree with you, but at least I respected you. How, how, how are you going to go into work tomorrow? How, how are you going to face the other science guys? How, how are you going to face yourself? Oh! That was fun. So who's hungry?"
Rachel Green,Mad,2,4,1,2,"Mom, would you relax. That was 10 blocks from here and, the, the woman was walking alone at night, I would never do that. Mom, c'mon, stop worrying. This is a safe street, this is a safe building, there's nothing OH MY GOOOD, oh my God, oh I gotta go, I gotta go, I gotta go. OK, that's fine, you just read the paper, I'm gonna get a pot, it's not for you. OK, that's fine, read the Family Circus, enjoy the gentle comedy. Aaahh, oh my God, oh my God, oh my God, oh my God, oh my God, oh my God, oh my God, oh my God, aaaaahh. It's open you guys."
Stranger,Neutral,2,4,1,3,Hi.
Rachel Green,Neutral,2,4,1,4,"Hi, hi can I help you?"
Stranger,Neutral,2,4,1,5,"Yeah, I'm looking for Phoebe, does she still live here?"
Rachel Green,Neutral,2,4,1,6,"Uh, no she doesn't but I can, I can get a message to her."
Stranger,Powerful,2,4,1,7,"Great. Uhh, just tell her her husband stopped by."
Rachel Green,Scared,2,4,1,8,What?
Stranger,Scared,2,4,1,9,"Hey, how, how did you do that?"
Ross Geller,Scared,2,4,3,2,"So, uh, does it do anything, you know, special?"
Chandler Bing,Joyful,2,4,3,3,"Why yes Ross, pressing my third nipple opens the delivery entrance to the magical land of Narnia."
Julie,Powerful,2,4,3,4,"You know, in some cultures having a third nipple is actually a sign of virility. You get the best huts and women dance naked around you."
Chandler Bing,Joyful,2,4,3,5,"Huh? Are, uh, any of these cultures, per chance, in the tri-state area?"
Ross Geller,Joyful,2,4,3,6,"You know, you are so amazing, is there anything you, you don't know?"
Rachel Green,Mad,2,4,3,7,"Ooh, Julie's so smart, Julie's so special."
Monica Geller,Mad,2,4,3,8,"Look honey, I wanted you to hook up with Ross as much as you did. But he's with her now and you're just gonna have to get over it."
Rachel Green,Mad,2,4,3,9,"Ohh, I'm gonna have to get over it. God, see I didn't know that's I had to do, I just have to get over it."
#ALL#,Joyful,2,4,3,10,Woah.
Joey Tribbiani,Joyful,2,4,3,11,Foxy lady.
Julie,Neutral,2,4,3,12,Where you goin'?
Phoebe Buffay,Neutral,2,4,3,13,"Um, I'm gonna go meet Duncan, he's skating tonight at the Garden, he's in the Capades."
Joey Tribbiani,Scared,2,4,3,14,The Ice Capades?
Chandler Bing,Joyful,2,4,3,15,"No, no the gravel capades. Yeah, the turns aren't as fast but when Snoopy falls. . . funny."
Monica Geller,Mad,2,4,3,16,"I can't believe you're dressing up for him. I mean, you're just, you're setting yourself up all over again."
Phoebe Buffay,Joyful,2,4,3,17,"OK, no. For your information I'm going to see him so I can put all those feeling behind me. OK, and the reason I'm dressed like this is because I think it's nice to look nice for your gay husband."
Ross Geller,Joyful,2,4,3,18,"Oh, darnit, we're all out of milk. Hey Chandler, would you fill me up here?"
Chandler Bing,Joyful,2,4,3,19,"Oh I see, I see, because of the third nipple thing. Ha ha ha ha. . ."
Phoebe Buffay,Neutral,2,4,5,2,Hi.
Duncan,Neutral,2,4,5,3,Phoebe!
Phoebe Buffay,Joyful,2,4,5,4,Ta-da.
Duncan,Joyful,2,4,5,5,Hey.
Phoebe Buffay,Neutral,2,4,5,6,Hi.
Duncan,Peaceful,2,4,5,7,"Ahh, look at you, you look great."
Phoebe Buffay,Joyful,2,4,5,8,"Do I? Thank you, so do you."
Duncan,Powerful,2,4,5,9,Thanks.
Phoebe Buffay,Joyful,2,4,5,10,"Sparkly. So, wow, this is pretty wonerful, huh. Mr. major capades guy. I, I remember when you were just, like, King Friday in Mr. Roger's Ice is Nice."
Duncan,Peaceful,2,4,5,11,You always said I'd make it.
Phoebe Buffay,Joyful,2,4,5,12,"Yeah, well, ya know, I'm kind of spooky that way. Wooo."
Duncan,Peaceful,2,4,5,13,I missed you. I'm gonna get changed.
Phoebe Buffay,Neutral,2,4,5,14,OK.
Duncan,Neutral,2,4,5,15,"Um, now. Phoebs."
Phoebe Buffay,Joyful,2,4,5,16,"Oh, right, OK. Ole."
Duncan,Scared,2,4,5,17,What?
Phoebe Buffay,Joyful,2,4,5,18,"Um, the matador. Ole, ha ha ha."
Ross Geller,Neutral,2,4,6,2,"Julie, can you hold this for a second, thanks."
Chandler Bing,Neutral,2,4,6,3,"Uh, Julie."
Julie,Neutral,2,4,6,4,Yeah?
Chandler Bing,Joyful,2,4,6,5,"Sorry, you had a paleontologist on your face. But, uh, it's gone now, you're alright."
Ross Geller,Neutral,2,4,6,6,Hi everyone.
#ALL#,Neutral,2,4,6,7,Hi.
Ross Geller,Scared,2,4,6,8,"I just, I wanted to thank you for our uh, our little talk before."
Rachel Green,Scared,2,4,6,9,"Oh, God, no problem. So you're gonna go with the uh, waiting thing?"
Ross Geller,Peaceful,2,4,6,10,"Well, I was going to, but after I talked to you, I talked to Joey."
Rachel Green,Neutral,2,4,6,11,"What did, what did he say?"
Ross Geller,Joyful,2,4,6,12,"Basically he told me to get over myself and just do it, ya know. So I though about what you said and I though about what he said and, well, his way I get to have sex tonight so. . ."
Chandler Bing,Joyful,2,4,7,2,What's this in my pocket? Why it's Joey's porno movie.
Ross Geller,Joyful,2,4,7,3,Pop it in.
Joey Tribbiani,Peaceful,2,4,7,4,"I'm fine with it, I mean, if you're OK watching a video filled with two nippled people."
Rachel Green,Mad,2,4,7,5,"Great, people having sex, that's just what I need to see."
Ross Geller,Scared,2,4,7,6,What's wrong with people having sex?
Rachel Green,Mad,2,4,7,7,"Well, well um, you know, these movies are offensive and uh, degrading to women and females. And uh, and the lighting's always unflattering. And, Monica help me out here."
Monica Geller,Joyful,2,4,7,8,"Hell, I wanna see Joey."
Julie,Scared,2,4,7,9,"So is there like a story or do they just stard doing it right. . . oh, never mind."
Chandler Bing,Joyful,2,4,7,10,"OK, now wait a minute. That is the craziest typing test I've ever seen."
Monica Geller,Joyful,2,4,7,11,"All I say is, she better get the job."
Ross Geller,Joyful,2,4,7,12,Looks to me like he's the one getting the job.
Joey Tribbiani,Scared,2,4,7,13,"Shh, OK, here I come, here I come. See I'm comin' to fix the copier, I can't get to the copier, I'm thinkin' what do I do, what do I do. . . so I just watch 'em have sex. And then I say, wait, here's my line, you know that's bad fo r the paper tray."
Chandler Bing,Joyful,2,4,7,14,Nice work my friend.
Joey Tribbiani,Joyful,2,4,7,15,"Thank you. Wait wait wait wait, you see me again. Hang on, the guy's butt's blockin' me. There I am, there I am, there I am, there I am, there I am. . ."
Phoebe Buffay,Peaceful,2,4,8,2,"So um, so what's up, you came to see me yesterday."
Duncan,Scared,2,4,8,3,"Oh, yeah, um, alright, I kinda need a divorce."
Phoebe Buffay,Scared,2,4,8,4,Ohh. . .K. How come?
Duncan,Scared,2,4,8,5,"Umm, actually, I'm getting married again."
Phoebe Buffay,Mad,2,4,8,6,What?
Duncan,Scared,2,4,8,7,"Oh God, I don't know how to tell you this. I'm straight."
Phoebe Buffay,Joyful,2,4,8,8,Huuh.
Duncan,Scared,2,4,8,9,"Yeah, I know, I."
